"word","category","category_reason","definition"
"abele","2","uncommon or archaic (low frequency)","a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces"
"abeles","2","uncommon or archaic (low frequency)","a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces"
"abelia","2","uncommon or archaic (low frequency)","any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico"
"aberdonian","2","uncommon or archaic (low frequency)","of or relating to Aberdeen"
"aberrant","2","uncommon or archaic (low frequency)","one whose behavior departs substantially from the norm of a group"
"aberration","2","uncommon or archaic (low frequency)","a state or condition markedly different from the norm"
"aberrations","2","uncommon or archaic (low frequency)","a state or condition markedly different from the norm"
"abet","2","uncommon or archaic (low frequency)","assist or encourage, usually in some wrongdoing"
"abetment","2","uncommon or archaic (low frequency)","the verbal act of urging on"
"abets","2","uncommon or archaic (low frequency)","assist or encourage, usually in some wrongdoing"
"abetted","2","uncommon or archaic (low frequency)","assist or encourage, usually in some wrongdoing"
"abetter","2","uncommon or archaic (low frequency)","one who helps or encourages or incites another"
"abetting","2","uncommon or archaic (low frequency)","assist or encourage, usually in some wrongdoing"
"abettor","2","uncommon or archaic (low frequency)","one who helps or encourages or incites another"
"abettors","2","uncommon or archaic (low frequency)","one who helps or encourages or incites another"
"abeyance","2","uncommon or archaic (low frequency)","temporary cessation or suspension"
"abeyant","2","uncommon or archaic (low frequency)","inactive but capable of becoming active"
"abhor","2","uncommon or archaic (low frequency)","find repugnant"
"abhorred","2","uncommon or archaic (low frequency)","find repugnant"
"abhorrence","2","uncommon or archaic (low frequency)","hate coupled with disgust"
"abhorrent","2","uncommon or archaic (low frequency)","offensive to the mind"
"abhorring","2","uncommon or archaic (low frequency)","find repugnant"
"abhors","2","uncommon or archaic (low frequency)","find repugnant"
"abide","1","common english (recognizable)","dwell"
"abided","2","uncommon or archaic (low frequency)","dwell"
"abides","2","uncommon or archaic (low frequency)","dwell"
"abiding","2","uncommon or archaic (low frequency)","dwell"
"abies","2","uncommon or archaic (low frequency)","true firs"
"abilities","1","common english (recognizable)","the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment"
"ability","1","common english (recognizable)","the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment"
"abiogenesis","2","uncommon or archaic (low frequency)","a hypothetical organic phenomenon by which living organisms are created from nonliving matter"
"abject","2","uncommon or archaic (low frequency)","of the most contemptible kind"
"abjection","2","uncommon or archaic (low frequency)","a low or downcast state; - H.L.Menchken"
"abjectly","2","uncommon or archaic (low frequency)","in a hopeless resigned manner"
"abjuration","2","uncommon or archaic (low frequency)","a disavowal or taking back of a previous assertion"
"abjure","2","uncommon or archaic (low frequency)","formally reject or disavow a formerly held belief, usually under pressure"
"abjured","2","uncommon or archaic (low frequency)","formally reject or disavow a formerly held belief, usually under pressure"
"abjures","2","uncommon or archaic (low frequency)","formally reject or disavow a formerly held belief, usually under pressure"
"abjuring","2","uncommon or archaic (low frequency)","formally reject or disavow a formerly held belief, usually under pressure"
"ablate","2","uncommon or archaic (low frequency)","wear away through erosion or vaporization"
"ablated","2","uncommon or archaic (low frequency)","wear away through erosion or vaporization"
"ablating","2","uncommon or archaic (low frequency)","wear away through erosion or vaporization"
"ablation","2","uncommon or archaic (low frequency)","surgical removal of a body part or tissue"
"ablations","2","uncommon or archaic (low frequency)","surgical removal of a body part or tissue"
"ablative","2","uncommon or archaic (low frequency)","the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb"
"ablaut","2","uncommon or archaic (low frequency)","a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song)"
